# Constructed from biom file
#OTU ID	SRR38233223	SRR38233224	SRR38233225	SRR38233226	SRR38233227	SRR38233228	SRR38233229	SRR38233230	SRR38233231	SRR38233232	SRR38233233	SRR38233234	SRR38233235	SRR38233236	SRR38233237	SRR38233238	SRR38233239	SRR38233240
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	128.0	124.0	148.0	3.0	0.0	0.0	215.0	54.0	79.0	94.0	14.0	36.0	41.0	17.0	32.0	22.0	26.0	34.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_ruminantium_group	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	400.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella	0.0	10.0	17.0	368.0	0.0	0.0	0.0	0.0	66.0	91.0	0.0	72.0	52.0	0.0	46.0	15.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-001	8.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	717.0	0.0	0.0	0.0	0.0	0.0	14.0	207.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	8.0	28.0	16.0	0.0	0.0	0.0	0.0	216.0	123.0	67.0	12.0	4.0	0.0	2.0	108.0	4.0	7.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Incertae_Sedis	6.0	14.0	21.0	73.0	0.0	3.0	29.0	8.0	64.0	27.0	126.0	101.0	117.0	72.0	66.0	63.0	0.0	29.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Morganella	0.0	386.0	417.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	30.0	48.0	179.0	0.0	0.0	90.0	82.0	9.0	54.0	3.0	197.0	0.0	57.0	0.0	193.0	26.0	33.0	41.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Howardella	0.0	0.0	22.0	21.0	24.0	50.0	53.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	163.0	8.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Clostridium]_innocuum_group	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	218.0	105.0	10.0	295.0	271.0	0.0	0.0	0.0	0.0	0.0
